                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.58361,                0.71741,                0.39989,                0.90221,                0.92819,                0.89645,                0.94084,                0.78565,                0.92263,                0.89171,                0.93548,                0.69913,                 0.7707,                0.91538,                0.54697,                   1.05,              0.0072775,              0.0072775,              0.0072775
                     57,                0.57467,                0.71108,                0.39409,                0.89977,                0.92546,                0.90298,                0.94328,                0.78688,                0.91351,                 0.8892,                0.93025,                0.70123,                0.77392,                0.92973,                  0.551,                 1.0521,               0.007228,               0.007228,               0.007228
                     58,                0.57511,                0.71198,                0.39546,                0.89952,                0.92365,                0.90408,                0.94196,                 0.7863,                0.91522,                0.89425,                0.93391,                0.70579,                0.77351,                0.93007,                0.54124,                 1.0483,              0.0071785,              0.0071785,              0.0071785
                     59,                 0.5699,                0.70469,                0.39071,                0.89846,                0.91947,                0.90981,                0.94015,                0.78639,                0.90798,                0.89946,                0.93005,                0.69892,                0.77247,                0.93262,                0.54599,                  1.052,               0.007129,               0.007129,               0.007129
                     60,                0.56819,                0.70282,                0.38715,                0.89629,                0.91488,                0.90768,                 0.9422,                0.78758,                0.91176,                0.90444,                0.93662,                0.69823,                0.77207,                0.92145,                0.54575,                 1.0484,              0.0070795,              0.0070795,              0.0070795
                     61,                0.56378,                0.69628,                0.38666,                0.89488,                 0.9182,                0.91776,                0.94038,                0.78661,                0.91505,                0.91045,                0.93544,                0.69722,                0.76661,                0.91465,                0.53775,                 1.0478,                0.00703,                0.00703,                0.00703
                     62,                0.55903,                0.69171,                0.38272,                0.89171,                0.92163,                0.91728,                0.93865,                0.78556,                0.91929,                0.91407,                0.93454,                0.70681,                0.76179,                0.91578,                0.53472,                 1.0427,              0.0069805,              0.0069805,              0.0069805
                     63,                 0.5637,                0.69266,                0.38246,                0.89353,                0.91638,                0.91922,                0.93752,                0.78665,                0.91292,                0.91198,                0.92978,                0.70762,                0.75934,                0.91958,                0.52908,                 1.0439,               0.006931,               0.006931,               0.006931
                     64,                0.55651,                0.69397,                0.37878,                0.89178,                0.92102,                0.91697,                0.93866,                0.78895,                0.91259,                0.90731,                0.92812,                0.70919,                0.75291,                0.92051,                0.53068,                 1.0355,              0.0068815,              0.0068815,              0.0068815
                     65,                0.55024,                0.68123,                0.37629,                0.88772,                0.91389,                0.91659,                0.93678,                0.79371,                0.90957,                0.91169,                0.93318,                0.70783,                0.75442,                0.93107,                0.53338,                 1.0382,               0.006832,               0.006832,               0.006832
