                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.64362,                 1.0914,                0.54388,                0.96105,                0.55999,                0.43693,                0.45902,                0.27676,                0.54735,                0.42133,                0.42678,                 0.2062,                 1.6504,                 4.0198,                   1.99,                 2.1923,              0.0057925,              0.0057925,              0.0057925
                     87,                 0.6351,                 1.0781,                0.53559,                0.95409,                 0.6859,                0.42478,                0.45696,                0.27507,                0.66865,                0.41262,                0.42663,                0.20608,                 1.6506,                  4.027,                 1.9876,                 2.1927,               0.005743,               0.005743,               0.005743
                     88,                0.63483,                 1.0712,                0.53678,                0.95698,                 0.6866,                0.42072,                 0.4566,                0.27436,                0.67024,                0.40999,                0.42914,                0.20607,                 1.6512,                 4.0289,                 1.9887,                 2.1964,              0.0056935,              0.0056935,              0.0056935
                     89,                0.63208,                 1.0688,                0.53434,                0.95504,                0.68326,                0.42589,                0.45743,                0.27518,                0.66919,                 0.4121,                0.42843,                0.20683,                  1.654,                 4.0393,                 1.9944,                 2.1995,               0.005644,               0.005644,               0.005644
                     90,                0.62681,                 1.0614,                0.52831,                0.95126,                0.69483,                0.42037,                0.45621,                0.27471,                0.67503,                0.40773,                0.42579,                0.20614,                 1.6517,                 4.0522,                 1.9964,                 2.1991,              0.0055945,              0.0055945,              0.0055945
                     91,                0.62577,                 1.0643,                0.52814,                0.95069,                0.69558,                0.42273,                0.45637,                0.27347,                0.67512,                0.40851,                0.42442,                0.20534,                 1.6513,                 4.0509,                 1.9972,                 2.2005,               0.005545,               0.005545,               0.005545
                     92,                0.61768,                 1.0466,                0.52239,                0.94657,                0.57358,                0.42711,                0.45706,                0.27339,                0.55365,                0.41435,                0.42637,                0.20524,                 1.6503,                 4.0576,                 2.0031,                 2.2027,              0.0054955,              0.0054955,              0.0054955
                     93,                0.61998,                   1.05,                0.52487,                0.94859,                0.68851,                0.42535,                0.45694,                0.27309,                0.66901,                0.41317,                0.42748,                 0.2043,                  1.649,                 4.0608,                 2.0089,                 2.2024,               0.005446,               0.005446,               0.005446
                     94,                0.61561,                 1.0389,                0.52454,                0.94655,                0.70013,                0.42602,                0.45721,                0.27426,                0.68147,                0.41328,                0.42774,                0.20581,                  1.649,                 4.0668,                 2.0145,                 2.2032,              0.0053965,              0.0053965,              0.0053965
                     95,                0.61361,                 1.0325,                0.51989,                0.94475,                0.69618,                0.42296,                0.45509,                0.27312,                0.67733,                0.40917,                0.42516,                0.20397,                 1.6507,                 4.0819,                 2.0215,                 2.2057,               0.005347,               0.005347,               0.005347
                     96,                0.60567,                 1.0212,                0.51062,                0.94015,                0.69539,                0.42139,                0.45827,                0.27305,                0.67492,                0.40642,                0.42551,                0.20404,                   1.65,                 4.0885,                 2.0295,                 2.2054,              0.0052975,              0.0052975,              0.0052975
                     97,                0.60435,                 1.0166,                0.51217,                0.94066,                0.58141,                0.42765,                0.45959,                0.27446,                0.67636,                0.40513,                0.42595,                0.20589,                 1.6495,                 4.1013,                 2.0346,                 2.2079,               0.005248,               0.005248,               0.005248
                     98,                0.60117,                 1.0114,                0.50771,                0.93924,                0.70581,                0.42575,                0.46118,                0.27613,                0.67829,                0.40762,                0.42955,                0.20641,                 1.6486,                 4.1089,                 2.0378,                 2.2075,              0.0051985,              0.0051985,              0.0051985
                     99,                0.59978,                 1.0181,                 0.5063,                0.93734,                0.70777,                0.42576,                0.46103,                0.27716,                0.68638,                0.41169,                0.43103,                0.20709,                 1.6476,                 4.1158,                 2.0454,                 2.2072,               0.005149,               0.005149,               0.005149
                    100,                0.59806,                  1.001,                0.50863,                0.93774,                0.70053,                 0.4196,                0.46066,                0.27688,                0.68025,                0.40667,                0.43182,                0.20761,                 1.6482,                 4.1262,                 2.0459,                 2.2101,              0.0050995,              0.0050995,              0.0050995
                    101,                 0.5949,                0.99319,                0.50065,                0.93626,                0.70106,                0.41956,                0.45912,                0.27616,                0.67923,                0.40387,                0.42926,                0.20632,                  1.649,                 4.1342,                 2.0538,                 2.2106,                0.00505,                0.00505,                0.00505
                    102,                 0.5888,                0.98741,                0.49795,                0.93401,                0.69941,                0.41871,                0.45915,                  0.276,                0.67775,                 0.4048,                0.42873,                0.20577,                  1.648,                  4.133,                 2.0565,                 2.2107,              0.0050005,              0.0050005,              0.0050005
                    103,                0.58658,                0.98819,                0.49863,                0.93188,                0.70103,                0.41913,                0.46101,                0.27727,                 0.6777,                0.40395,                0.42919,                0.20683,                 1.6484,                 4.1418,                 2.0563,                 2.2132,               0.004951,               0.004951,               0.004951
                    104,                0.58378,                0.97068,                0.49716,                0.93001,                0.70202,                0.42085,                0.46116,                 0.2767,                0.67954,                0.40426,                0.42891,                0.20605,                 1.6479,                  4.155,                 2.0536,                  2.214,              0.0049015,              0.0049015,              0.0049015
