                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.68487,                0.48939,                 1.1111,                0.46706,                 0.5231,                0.44428,                   0.21,                 2.2615,                 1.6896,                 3.5036,              0.0051985,              0.0051985,              0.0051985
                     99,                0.67791,                 0.4778,                 1.1072,                 0.4799,                0.52329,                0.48025,                0.21562,                 2.2674,                 1.7452,                 3.5197,               0.005149,               0.005149,               0.005149
                    100,                0.66252,                0.46506,                 1.0946,                0.51093,                0.51379,                0.46749,                 0.2005,                 2.2749,                 1.7846,                 3.5308,              0.0050995,              0.0050995,              0.0050995
                    101,                0.66455,                0.47469,                 1.1045,                 0.5127,                 0.4777,                0.44466,                0.19403,                 2.2852,                 1.7476,                 3.5981,                0.00505,                0.00505,                0.00505
                    102,                0.66871,                0.47138,                 1.0987,                0.49354,                0.55533,                0.45911,                 0.2041,                 2.2461,                 1.6668,                 3.4908,              0.0050005,              0.0050005,              0.0050005
                    103,                0.65712,                0.46774,                 1.0931,                0.51448,                0.51329,                0.44585,                 0.2039,                 2.2808,                  1.721,                 3.5797,               0.004951,               0.004951,               0.004951
                    104,                0.64649,                0.45589,                 1.0837,                0.49519,                0.49495,                0.43015,                 0.1912,                 2.2825,                 1.7955,                  3.565,              0.0049015,              0.0049015,              0.0049015
                    105,                0.64518,                0.45616,                 1.0824,                 0.5011,                  0.526,                0.47389,                0.20836,                 2.2272,                 1.7487,                 3.4471,               0.004852,               0.004852,               0.004852
                    106,                 0.6423,                0.45306,                 1.0835,                0.56447,                0.50457,                0.46452,                0.20612,                  2.208,                 1.6852,                  3.441,              0.0048025,              0.0048025,              0.0048025
                    107,                0.64255,                0.45167,                 1.0861,                0.55114,                0.48531,                0.44128,                0.20474,                 2.2252,                 1.7051,                 3.4932,               0.004753,               0.004753,               0.004753
                    108,                0.64395,                0.45787,                 1.0794,                0.51684,                0.50225,                0.45299,                 0.1987,                 2.2741,                   1.71,                 3.6069,              0.0047035,              0.0047035,              0.0047035
                    109,                0.63647,                0.44454,                 1.0804,                0.47719,                0.51079,                0.44828,                0.20318,                 2.2752,                 1.7813,                 3.4549,               0.004654,               0.004654,               0.004654
                    110,                0.62342,                0.44833,                 1.0666,                0.51741,                0.51668,                0.46173,                 0.1991,                 2.2772,                 1.7845,                 3.5046,              0.0046045,              0.0046045,              0.0046045
                    111,                0.63497,                 0.4525,                 1.0742,                0.55868,                0.49365,                0.46623,                0.20321,                 2.2606,                 1.6905,                 3.5693,               0.004555,               0.004555,               0.004555
                    112,                0.61804,                0.43515,                 1.0624,                0.50024,                0.51792,                0.45614,                0.20187,                 2.2412,                  1.786,                 3.5165,              0.0045055,              0.0045055,              0.0045055
                    113,                0.61621,                0.43594,                 1.0655,                0.48519,                0.49122,                0.44021,                0.19799,                 2.2545,                 1.7237,                 3.5636,               0.004456,               0.004456,               0.004456
                    114,                0.61115,                 0.4343,                 1.0578,                0.51377,                0.49001,                0.44026,                0.19738,                 2.2348,                  1.773,                 3.5681,              0.0044065,              0.0044065,              0.0044065
                    115,                0.61048,                0.43581,                 1.0674,                 0.5619,                0.47833,                0.45534,                 0.2025,                 2.2447,                 1.6902,                 3.5811,               0.004357,               0.004357,               0.004357
                    116,                0.60675,                0.43548,                 1.0584,                0.57026,                0.49311,                0.47933,                 0.2198,                 2.2309,                 1.6903,                 3.5034,              0.0043075,              0.0043075,              0.0043075
                    117,                0.59742,                  0.416,                 1.0489,                0.53255,                0.54845,                0.47902,                0.20605,                 2.2323,                 1.6663,                 3.5576,               0.004258,               0.004258,               0.004258
                    118,                0.60215,                0.43206,                 1.0579,                0.53332,                0.52697,                0.46597,                0.20189,                 2.2486,                 1.6579,                 3.6069,              0.0042085,              0.0042085,              0.0042085
                    119,                0.58848,                0.41848,                 1.0449,                0.52376,                0.50556,                0.44723,                0.19396,                 2.2766,                  1.773,                 3.5774,               0.004159,               0.004159,               0.004159
                    120,                0.59105,                0.42111,                 1.0492,                0.50958,                0.49651,                0.44679,                0.19954,                 2.2401,                 1.8479,                 3.5657,              0.0041095,              0.0041095,              0.0041095
                    121,                0.58519,                0.41793,                 1.0471,                0.54544,                0.49129,                0.42954,                0.19345,                 2.2341,                 1.6931,                 3.5703,                0.00406,                0.00406,                0.00406
                    122,                0.58979,                0.42074,                 1.0461,                0.50816,                0.51015,                0.45622,                0.20852,                 2.2585,                 1.7434,                 3.5862,              0.0040105,              0.0040105,              0.0040105
